As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
Before the end he sent for Kruger, but the young man arrived too late. ||| before ||| Just before the end he sent for Kruger, but the young man arrived too late.
After their defeat in Tampere. ||| After ||| After their defeat in Tampere, the Red Guards began a slow retreat eastwards.
As a Scheduled Ancient Monument. ||| as ||| Part of the earthwork is protected as a Scheduled Ancient Monument.
As the beginning of the Texas Revolution. ||| as ||| Some historians regard the Fredonian Rebellion as the beginning of the Texas Revolution.
While it was being towed to the scrapyard. ||| while ||| Oklahoma sank during a mid-Pacific storm while it was being towed to the scrapyard.
As Bradley's term drew to a close. ||| As ||| As Bradley's term drew to a close, potential Republican candidates to succeed him were initially few.
That leaders should be respected by those they lead, and govern with their consent. ||| that ||| Ballantyne's message is that leaders should be respected by those they lead, and govern with their consent.
When the Portuguese sea captain Diogo Dias sighted the island. ||| when ||| European contact began in 1500, when the Portuguese sea captain Diogo Dias sighted the island.
After a quick Tech first down, the Georgia defense stiffened and Tech was forced to settle for a field goal. ||| after ||| However, after a quick Tech first down, the Georgia defense stiffened and Tech was forced to settle for a field goal.
Before raids on the home islands. ||| before ||| Moreover, Japanese agents in China reported on all B-29 movements, giving hours of warning time before raids on the home islands.
Where she developed a deep love for Arizona. ||| where ||| She and Miller lived in Tucson for two years, where she developed a deep love for Arizona.
That resulted in the ejection of one player. ||| that ||| Virginia Tech's win was marred by excessive penalties and unsportsmanlike conduct that resulted in the ejection of one player.
That there were two days and nights of difficult travel ahead without grass or water. ||| that ||| The pieces indicated that there were two days and nights of difficult travel ahead without grass or water.
After John's death. ||| after ||| The civil war ended after John's death.
When he goes to investigate. ||| When ||| When he goes to investigate, a raven flutters into his chamber.
That he earned $200,000 per year. ||| that ||| The Wiggles never publicly disclosed how much Moran was paid, but it was reported that he earned $200,000 per year.
While others became more involved with Church than secular affairs. ||| while ||| In Western Europe, some of the older Roman elite families died out while others became more involved with Church than secular affairs.
After the trial. ||| After ||| After the trial, his management announced to the British press that they were planning a farewell tour for the Experience.
That began on February 6 would be known as the Polish Round Table Talks. ||| that ||| The conference that began on February 6 would be known as the Polish Round Table Talks.
That not all Gangas kings may have given equal priority to all the faiths. ||| that ||| However scholars have argued that not all Gangas kings may have given equal priority to all the faiths.
As the combined Texian force prepared for battle. ||| As ||| As the combined Texian force prepared for battle, they sent a messenger to instruct the alcalde of the city to surrender.
As commissioned officers. ||| as ||| About 40% of white males in the colony, 5,716 men, put on uniform, with 1,720 doing so as commissioned officers.
That as many as 7,000 enemy troops were deployed around Cabanatuan City located several miles away. ||| that ||| Pajota also confirmed reports that as many as 7,000 enemy troops were deployed around Cabanatuan City located several miles away.
As well as a Category 3 on the Saffir-Simpson scale, the first of 2006. ||| as ||| This made Gordon a major hurricane, as well as a Category 3 on the Saffir-Simpson scale, the first of 2006.
As the storm progressed westward, and on Jamaica, the storm caused three drownings. ||| as ||| Heavy rain fell on Hispaniola as the storm progressed westward, and on Jamaica, the storm caused three drownings.
As a pop star. ||| as ||| Universal claimed it intended to market Smith as a pop star.
As missing following similar incidents. ||| as ||| Three other fishermen were listed as missing following similar incidents.
As captain in many one-day cricket matches, he was praised by Wisden for encouraging exciting contests. ||| as ||| Playing as captain in many one-day cricket matches, he was praised by Wisden for encouraging exciting contests.
While Young had none and employed a pure ring field. ||| while ||| Laker bowled with one slip, while Young had none and employed a pure ring field.
Although The Monster is now considered one of Crane's best works. ||| although ||| Both the novella and collection received mixed reviews from critics, although The Monster is now considered one of Crane's best works.
Although Hammond did not contribute in the first, making a first ball duck. ||| although ||| England won the first two Tests, although Hammond did not contribute in the first, making a first ball duck.
While Chief of the Air Force Soerjadi Soerjadarma was intended to be commander-in-chief. ||| while ||| He was demoted to lieutenant general, while Chief of the Air Force Soerjadi Soerjadarma was intended to be commander-in-chief.
After playing along he agreed to join. ||| after ||| However, after playing along he agreed to join.
While drifting through El Salvador. ||| While ||| While drifting through El Salvador, the hurricane dropped immense amounts of precipitation, resulting in flash flooding and mudslides through the country.
That he made contact with Johnson and that it was on purpose. ||| that ||| He later admitted that he made contact with Johnson and that it was on purpose.
Though named after al-Kharrat's quarter. ||| Though ||| Though named after al-Kharrat's quarter, the band included twenty qabadayat and their armed retinues from other Damascus neighborhoods and nearby villages.
That year. ||| That ||| That year, Hindman's father purchased a new plantation in Ripley, Mississippi.
As he would in four of his five remaining Tests. ||| as ||| He batted fifth in the order in the final match, as he would in four of his five remaining Tests.
That such a major reconstruction was unachievable at that time, and limited herself to more attainable reforms. ||| that ||| Wilkinson believed, however, that such a major reconstruction was unachievable at that time, and limited herself to more attainable reforms.
As he was relatively small for a swimmer. ||| as ||| His aquatic success was not derived from any physical advantage, as he was relatively small for a swimmer.
Than 20,000 people evacuated to emergency shelters. ||| than ||| Overall, more than 20,000 people evacuated to emergency shelters.
As one of his proudest achievements as an administrator. ||| as ||| In later years, Allen judged this work to improve youth cricket as one of his proudest achievements as an administrator.
That year. ||| that ||| The novel was one of ten Roberts books released that year.
That of Evelyn Waugh, who died on 10 April 1966. ||| that ||| The premature deaths included that of Evelyn Waugh, who died on 10 April 1966.
As pandering to the public. ||| as ||| Mussorgsky, writing to Vladimir Stasov, disapproved of the opera as pandering to the public.
As part of its premiere class. ||| as ||| Tchaikovsky enrolled at the Conservatory as part of its premiere class.
As they pleased. ||| as ||| Unlike slaves, retainers could come and go from their master's home as they pleased.
That Rowling had developed writer's block, speculations she denied. ||| that ||| This gap led to press speculation that Rowling had developed writer's block, speculations she denied.
After splitting the first six games, Duncan became the tragic hero of his team in Game 7. ||| after ||| But after splitting the first six games, Duncan became the tragic hero of his team in Game 7.
After Amin's defeat. ||| After ||| After Amin's defeat, inspired by Rwigyema, Kagame and other Rwandan refugees pledged allegiance to Museveni, a cabinet member in the transition government.
When the wind pushes water away from the land and deeper water rises to replace it. ||| when ||| Temporary upwelling currents occur when the wind pushes water away from the land and deeper water rises to replace it.
As a pilot and was commissioned in April 1933. ||| as ||| Balmer qualified as a pilot and was commissioned in April 1933.
Than half of the area, in which bamboo and cane tracts are common. ||| than ||| Forests cover more than half of the area, in which bamboo and cane tracts are common.
Before finding himself unable to handle the strain of coaching. ||| before ||| He lasted only two games, a win and a loss, before finding himself unable to handle the strain of coaching.
After the assassination of Martin Luther King. ||| After ||| After the assassination of Martin Luther King, Jr. in April 1968, Lindsay feared that rioting would occur in Harlem.
As of 2015. ||| As ||| As of 2015, it remains England's highest first wicket partnership against Australia.
After a funeral at the First Methodist Church in Des Moines. ||| After ||| After a funeral at the First Methodist Church in Des Moines, Weaver was buried in that city's Woodland Cemetery.
As the 1895 summer approached, Sverdrup resumed daily ski practice. ||| as ||| With the arrival of warmer weather as the 1895 summer approached, Sverdrup resumed daily ski practice.
When the First World War broke out. ||| When ||| When the First World War broke out, she set up a military hospital in Pavlovsk Palace, which belonged to her brother.
As the Edgar Allan Poe House and Museum. ||| as ||| The earliest surviving home in which Poe lived is in Baltimore, preserved as the Edgar Allan Poe House and Museum.
After an unsuccessful operation. ||| After ||| After an unsuccessful operation, he died on 6 September.
That is now Belarus was first settled by Baltic tribes in the 3rd century. ||| that ||| The region that is now Belarus was first settled by Baltic tribes in the 3rd century.
That heavily damaged parts of Atlantic Canada in late September 2003. ||| that ||| Hurricane Juan was a significant tropical cyclone that heavily damaged parts of Atlantic Canada in late September 2003.
Than a dozen fish species, and a few reptile and amphibian species have been documented. ||| than ||| Hundreds of species of birds, more than a dozen fish species, and a few reptile and amphibian species have been documented.
That is still used today, was completed in 1934 by the Civilian Conservation Corps. ||| that ||| Rim Road, the scenic drive that is still used today, was completed in 1934 by the Civilian Conservation Corps.
That he was too obese to carry out military duties. ||| that ||| In a later failed attempt, he tried to convince army officials that he was too obese to carry out military duties.
As with Massachusetts. ||| As ||| As with Massachusetts, downed trees and property damage were widespread.
That Morenz would have wanted the game to continue. ||| that ||| However Mary insisted the game be played, saying that Morenz would have wanted the game to continue.
Until 1972 when Pat Pocock took seven wickets in 11 balls. ||| until ||| This remained a record until 1972 when Pat Pocock took seven wickets in 11 balls.
While in Paraguay. ||| While ||| While in Paraguay, Paranhos had to deal with another serious issue.
Until his resignation on November 1, 1945, despite claims to the contrary by the press. ||| until ||| He received only his Senate salary until his resignation on November 1, 1945, despite claims to the contrary by the press.
That Brownlee should take the position, to the latter's astonishment. ||| that ||| Wood was not interested and suggested that Brownlee should take the position, to the latter's astonishment.
Although there was no date on the magazine. ||| although ||| The first issue appeared in July 1946, although there was no date on the magazine.
When he batted, out of an English total of 577. ||| when ||| He scored a single run when he batted, out of an English total of 577.
That time, his followers were primarily teenagers, and several of his top leaders subsequently struggled with drug addiction. ||| that ||| At that time, his followers were primarily teenagers, and several of his top leaders subsequently struggled with drug addiction.
That they did not know the meaning of the word and would hold the Godesburg to the last man. ||| that ||| They replied that they did not know the meaning of the word and would hold the Godesburg to the last man.
That regulated pressure and hindered productivity. ||| that ||| Despite his support of the governmental anti-waste regulations, he was steadfastly against other rules that regulated pressure and hindered productivity.
Although the Spanish had contact with these societies. ||| Although ||| Although the Spanish had contact with these societies, they established missions further north, near Lake Okeechobee.
As of 2003. ||| As ||| As of 2003, there were 581 water rights recorded in the watershed, with 394 of them related to irrigation.
As the Canadiens again failed to qualify for the Stanley Cup. ||| as ||| He won 12 games the following season, as the Canadiens again failed to qualify for the Stanley Cup.
Although there were doubts within the school about his ability to unify the team. ||| although ||| He also became captain although there were doubts within the school about his ability to unify the team.
When the bill became law. ||| When ||| When the bill became law, 4 million voters, most of them women, were added to the register.
As England captain, the pair bowled South Africa out for 30 runs. ||| as ||| In the first Test match, on Gilligan's debut as England captain, the pair bowled South Africa out for 30 runs.
As a model for his fellow citizens. ||| as ||| Throughout these years he endeavored to protect his privacy and to present himself as a model for his fellow citizens.
Although twice relocated is purported to be the city's oldest standing house. ||| although ||| This district includes the Henry B. Clarke House, which although twice relocated is purported to be the city's oldest standing house.
Until their merger with the Corps of Engineers in 1863. ||| until ||| The Topographical Engineers performed surveys and developed maps for army use until their merger with the Corps of Engineers in 1863.
As a tropical storm before dissipating. ||| as ||| The tropical system weakened, striking Nova Scotia as a tropical storm before dissipating.
As Rosas aged and his health declined. ||| As ||| As Rosas aged and his health declined, the question of who would succeed him became a growing concern among his supporters.
Than 200 pages and was intended to be on sale for only one month. ||| than ||| Like other category romances, the novel was less than 200 pages and was intended to be on sale for only one month.
When the discussion turned to a wartime action off Mindanao. ||| When ||| When the discussion turned to a wartime action off Mindanao, the officer tried to correct Stafford, who held to her point.
Though is that Adventure turned her guns on the two ships and fired. ||| though ||| What is certain though is that Adventure turned her guns on the two ships and fired.
As one of the wonders of the West Country. ||| as ||| The park was featured on the television programme Seven Natural Wonders twice, as one of the wonders of the West Country.
That of Marianna Mortara's health. ||| that ||| The central theme in almost all renditions of the narrative favouring the Mortara family was that of Marianna Mortara's health.
That the entire area should be under federal protection. ||| that ||| Muir tried to convince his guests that the entire area should be under federal protection.
That raids were conducted, four cities were attacked, each by a wing of bombers. ||| that ||| On most nights that raids were conducted, four cities were attacked, each by a wing of bombers.
As a defence mechanism, to repel the outside world. ||| as ||| To this end he adopted an overtly hostile persona as a defence mechanism, to repel the outside world.
That was used in the 2000 season. ||| that ||| This is the same list that was used in the 2000 season.
That Woodfull was badly injured. ||| that ||| Warner learned from twelfth man Leo O'Brien that Woodfull was badly injured.
That between 14 and 76 Mexican soldiers were killed, while only one Texian soldier died. ||| that ||| Historians estimate that between 14 and 76 Mexican soldiers were killed, while only one Texian soldier died.
Before Kilner had an opportunity to bowl. ||| before ||| South Africa were dismissed for 30 runs in the first innings before Kilner had an opportunity to bowl.
That only 12 copies have survived of Poe's first book Tamerlane and Other Poems. ||| that ||| It is believed that only 12 copies have survived of Poe's first book Tamerlane and Other Poems.
Since been equaled by a natural disaster in Canada. ||| since ||| The death toll of 81 people has not since been equaled by a natural disaster in Canada.
That washed away a bridge when it broke. ||| that ||| Landslides created a temporary natural dam on the river that washed away a bridge when it broke.
As well as to seize Spanish treasure. ||| as ||| The venture was calculated to promote the Protestant interest by embarrassing and weakening the Spanish, as well as to seize Spanish treasure.
Before Irene hit the area. ||| before ||| These areas, along with Matanzas Province, were upgraded to a Hurricane Warning 15 hours before Irene hit the area.
Since 1979. ||| since ||| The 1995 Pacific hurricane season was the least active Pacific hurricane season since 1979.
While he was a popular player throughout Canada. ||| While ||| While he was a popular player throughout Canada, Richard was an icon within Quebec.
After a heavy artillery bombardment. ||| After ||| After a heavy artillery bombardment, German infantry and marines charged the British positions and surrounded the Rhodesian platoon.
That he was having an affair with Mustaine's girlfriend, an allegation Young denied. ||| that ||| Young's dismissal resulted from Mustaine's suspicions that he was having an affair with Mustaine's girlfriend, an allegation Young denied.
That follow the river for its entire length. ||| that ||| Interstate 5 and three branches of Oregon Route 99 are the two major highways that follow the river for its entire length.
As a ridge to its northwest build southeastward. ||| As ||| As a ridge to its northwest build southeastward, it resulted in Isabel decelerating as it turned to the north-northwest.
After a sensational trial in June 1934. ||| After ||| After a sensational trial in June 1934, the six-man jury found in favour of the plaintiffs, awarding them $10,000 and $5,000, respectively.
Once his scouts reported Forster's retreat. ||| Once ||| Once his scouts reported Forster's retreat, Arnold gave chase.
Until 20:30 hours, which prompted Task Force Shepard to respond to the threat. ||| until ||| Contact was not established until 20:30 hours, which prompted Task Force Shepard to respond to the threat.
When Michael Moorcock became editor. ||| when ||| New Worlds was acquired by Roberts & Vinter in 1964, when Michael Moorcock became editor.
As cultural festivals. ||| as ||| The inclusion of refugees in Erie's community augments religious diversity and prompts community events such as cultural festivals.
Than 60 species of birds, including Cooper's hawks, great blue herons, kingfishers, towhees, waxwings, and wrens frequent the area. ||| than ||| More than 60 species of birds, including Cooper's hawks, great blue herons, kingfishers, towhees, waxwings, and wrens frequent the area.
When the Danes attempted to return to Lincolnshire. ||| When ||| When the Danes attempted to return to Lincolnshire, the Norman forces there again drove them back across the Humber.
If cleanup does not proceed on schedule. ||| if ||| This waste is expected to reach the river in 12 to 50 years if cleanup does not proceed on schedule.
That which had played in 1914. ||| that ||| Yorkshire won the championship with a much-changed side from that which had played in 1914.
That at least 14 Mexican soldiers were killed, with an additional 39 wounded, several of whom died later. ||| that ||| Barr estimated that at least 14 Mexican soldiers were killed, with an additional 39 wounded, several of whom died later.
That Pound met his longtime mistress, the violinist Olga Rudge. ||| that ||| It was also at Barney's salon that Pound met his longtime mistress, the violinist Olga Rudge.
Than the previous record set by the 1933 Chesapeake Potomac Hurricane. ||| than ||| In many locations, the storm surge was higher than the previous record set by the 1933 Chesapeake Potomac Hurricane.
After several heavy rain events. ||| after ||| Leaks have been reported after several heavy rain events.
Because he had liver disease. ||| because ||| Cary said Tomlinson was vulnerable to this because he had liver disease.
As much $4 million on the sale. ||| as ||| Other details of the deal were never made public, and Haynes may have made as much $4 million on the sale.
As they scored five unanswered touchdowns to win the game. ||| as ||| The second half was dominated by Texas as they scored five unanswered touchdowns to win the game.
Because grand jury proceedings are secret. ||| Because ||| Because grand jury proceedings are secret, what exactly occurred has never been publicly revealed.
As having the best footwork against spin bowling among batsmen after the Second World War. ||| as ||| Benaud rated Morris alongside Neil Harvey as having the best footwork against spin bowling among batsmen after the Second World War.
Than ever. ||| than ||| At age 36, Smith started 1994 pitching better than ever.
After the interception. ||| After ||| After the interception, Kansas had the ball at the Virginia Tech 31-yard line.
As the House Ways and Means Committee, dominated by protectionists, provided a 10% reduction. ||| as ||| The commission's recommendations were ignored, however, as the House Ways and Means Committee, dominated by protectionists, provided a 10% reduction.
As a city, with the Selkirk settlement as its nucleus. ||| as ||| On 8 November 1873, Winnipeg was incorporated as a city, with the Selkirk settlement as its nucleus.
That night. ||| that ||| Another column of Iraqi tanks, approaching observation post 2, were engaged by aircraft and also repulsed that night.
Where they were forced to dig pits. ||| where ||| The Jews were transferred to trucks, then driven to a forest in Galicia, near Kolomaye, where they were forced to dig pits.
As water management systems for irrigation. ||| as ||| Efficient administration and vigorous overseas trade brought new technologies such as water management systems for irrigation.
When a stronger lead was required. ||| when ||| A poor communicator, Hutton distanced himself from his team when a stronger lead was required.
As a writer, Poe repeatedly had to resort to humiliating pleas for money and other assistance. ||| as ||| Throughout his attempts to live as a writer, Poe repeatedly had to resort to humiliating pleas for money and other assistance.
Where the Spartans were routed. ||| where ||| Cleomenes fought the Achaeans and the Macedonians at Sellasia, where the Spartans were routed.
Until 1886. ||| until ||| It was not performed again until 1886.
As an area of hilly open moorland in west Somerset and north Devon in South West England. ||| as ||| Exmoor is loosely defined as an area of hilly open moorland in west Somerset and north Devon in South West England.
As coach, the Bruins won or tied 85 percent of their games. ||| as ||| In his first 10 years as coach, the Bruins won or tied 85 percent of their games.
That the struggle was lengthy, and her death would have been slow and painful. ||| that ||| Lickley told the court that the struggle was lengthy, and her death would have been slow and painful.
As a hard taskmaster. ||| as ||| He often clashed with Arizona swimming coach Dick Jochums, who was regarded as a hard taskmaster.
As Manager of Education and Training. ||| as ||| Following his retirement from the Air Force in 1956, Hewitt joined International Harvester Co. Australia as Manager of Education and Training.
After Ingrid's onslaught. ||| After ||| After Ingrid's onslaught, the Mexican government declared states of emergency in several municipalities.
As Mexican soldiers swarmed over the walls. ||| As ||| As Mexican soldiers swarmed over the walls, at least 80 Texians fled the Alamo and were cut down by Mexican cavalry.
Because high tariffs were popular in the North. ||| because ||| This was done partly to pay for the war, but partly because high tariffs were popular in the North.
That the decisive move of the battle was made by General Cole. ||| that ||| It was at this critical point that the decisive move of the battle was made by General Cole.
As Dortmund took the lead, followed closely by Firing Line. ||| as ||| Espinoza positioned the colt in third place early in the race as Dortmund took the lead, followed closely by Firing Line.
Since Napoleon had reintroduced slavery in the French colonies. ||| Since ||| Since Napoleon had reintroduced slavery in the French colonies, support of abolition was no longer perceived as being pro-French.
That end of town. ||| that ||| At least three earthen forts were also built in that end of town.
As hurricanes. ||| as ||| Five Pacific storms impacted Mexico, of which Hurricanes Ignacio and Marty both hit the state of Baja California Sur as hurricanes.
That would become Hurricane Irene formed west of the Cape Verde Islands on August 4. ||| that ||| The tropical depression that would become Hurricane Irene formed west of the Cape Verde Islands on August 4.
As many expected. ||| As ||| As many expected, the highly anticipated domestic clash was a savage brawl from round one.
That politics prevented his appointment. ||| that ||| Fender's success, and that politics prevented his appointment.
After a period of unrest. ||| after ||| Pollock succeeded Evans, who had successfully restored the government and productivity of the islands after a period of unrest.
That the police robbed them upon their arrest. ||| that ||| Governor Taylor issued pardons for some of them, citing their claims that the police robbed them upon their arrest.
When the House debated the Kentucky Resolutions in 1798. ||| When ||| When the House debated the Kentucky Resolutions in 1798, he chaired the Committee of the Whole.
As the pass soared through the air. ||| As ||| As the pass soared through the air, Tech defender James Anderson jumped and caught the ball, intercepting it.
That he was ahead of his time. ||| that ||| People said that he was ahead of his time.
That made Able less spectacular than expected. ||| that ||| There were other factors that made Able less spectacular than expected.
Because few demonstrators were willing to risk arrest. ||| because ||| Despite the publicity surrounding King's arrest, the campaign was faltering because few demonstrators were willing to risk arrest.
When Bounty finally sailed on 28 November. ||| When ||| When Bounty finally sailed on 28 November, the ship was trapped by contrary winds and unable to clear Spithead until 23 December.
Although he initially had the desire to play in net. ||| Although ||| Although he initially had the desire to play in net, his parents wanted him to develop his skating first.
After the storm, although many rural areas had already been experiencing water shortages. ||| after ||| About 70% of Honduras lost access to fresh water after the storm, although many rural areas had already been experiencing water shortages.
That each has responsibility for different sites and dreamings in the area. ||| that ||| The claim was made by members of the seven groups that each has responsibility for different sites and dreamings in the area.
That later became the Grande Ronde Reservation. ||| that ||| The natives were then relocated by the government to a part of the Coast Reservation that later became the Grande Ronde Reservation.
While playing professionally for Modo Hockey. ||| while ||| Henrik and Daniel attended high school at Nolaskolan Gymnasium in their hometown in Sweden while playing professionally for Modo Hockey.
As a compliment. ||| as ||| The army's aviation division was generally favorably received by the Hawaiians, who took the military's investment in their land as a compliment.
After his arrival Gonsales becomes concerned about the condition of his gansas, three of whom have died. ||| after ||| Six months or so after his arrival Gonsales becomes concerned about the condition of his gansas, three of whom have died.
As a municipal water source. ||| as ||| By the 1920s, Aliso Creek was already being experimented with as a municipal water source.
As the magazine's editor-in-chief. ||| as ||| In November 2006, Hoashi left Viz, and Marc Weidenbaum replaced him as the magazine's editor-in-chief.
After returning home. ||| after ||| Haynes took a job teaching at the Jay County public school after returning home.
Since the construction of a restaurant in 1912. ||| since ||| Development in the area has continued since the construction of a restaurant in 1912.
After this poor start. ||| After ||| After this poor start, Headley scored 1,063 runs in the season at an average of 50.62, with three centuries.
That use Unani, homoeopathic and Ayurvedic treatments. ||| that ||| Hyderabad also has outpatient and inpatient facilities that use Unani, homoeopathic and Ayurvedic treatments.
As a result of Irene. ||| as ||| There were no damage or fatalities as a result of Irene.
After the 1968 Olympics, so he could concentrate solely on making a living. ||| after ||| At age 21, O'Brien retired after the 1968 Olympics, so he could concentrate solely on making a living.
Although he was acquitted by a Toronto court. ||| Although ||| Although he was acquitted by a Toronto court, public sentiment was decidedly against him throughout much of the United States.
Before crossing into Westchester County. ||| before ||| The tornado passed near the Tappan Zee Bridge before crossing into Westchester County.
As he had no male heir. ||| As ||| As he had no male heir, his title became extinct.
That became known as the Siegfried Idyll. ||| that ||| This was the first performance of the music that became known as the Siegfried Idyll.
Before crushing another Achaean force at Dyme. ||| before ||| In quick succession, Cleomenes cleared the cities of Arcadia of their Achaean garrisons, before crushing another Achaean force at Dyme.
Than in Kentucky. ||| than ||| The scandal gained more traction nationally than in Kentucky.
Than one million. ||| than ||| Bangalore Rural and Kodagu districts had a population of less than one million.
Until March 1959, when he retired from the army. ||| until ||| He served in this capacity from March 1958 until March 1959, when he retired from the army.
As attacking and destroying individual forts. ||| as ||| The empire's war strategy rarely involved massive invasions; more often it employed small scale methods such as attacking and destroying individual forts.
While upper-level outflow became better defined. ||| while ||| The next day, an eye developed and became apparent on satellite imagery, while upper-level outflow became better defined.
As the governor of the territory. ||| as ||| Despite his protests, Sebree did act as the governor of the territory.
Although the Klan disowned Evans for reaching out to the Catholic Church. ||| Although ||| Although the Klan disowned Evans for reaching out to the Catholic Church, popular opinion was more positive.
As a radical independent but was not an effective parliamentarian. ||| as ||| Kenealy was elected to Parliament in 1875 as a radical independent but was not an effective parliamentarian.
Before Dallas equalized. ||| before ||| Amobi Okugo scored a goal in the first half before Dallas equalized.
That saved Patton's budget with tax changes that were mostly revenue-neutral. ||| that ||| The administration and key Republican senators reached a compromise that saved Patton's budget with tax changes that were mostly revenue-neutral.
When the films began to be broadcast on television in the 1950s. ||| when ||| American audiences became familiar with his earlier film roles when the films began to be broadcast on television in the 1950s.
While distancing himself from the vices of his peers. ||| while ||| The boy devotes himself to study, while distancing himself from the vices of his peers.
That the jailer had been removed from office than that the prisoner had been lynched. ||| that ||| Citizens of Versailles were more outraged that the jailer had been removed from office than that the prisoner had been lynched.
When she became pregnant with Juwan. ||| when ||| Helena was an employee at a Chicago restaurant when she became pregnant with Juwan.
When their vehicle was swept away by floodwaters. ||| when ||| There, two people were killed when their vehicle was swept away by floodwaters.
That the governor immediately resigned upon granting the pardon, but the official records reflect no such action. ||| that ||| Some accounts hold that the governor immediately resigned upon granting the pardon, but the official records reflect no such action.
After the punt. ||| after ||| Kansas took over at its own 12-yard line after the punt.
Than 2,000 were counted. ||| than ||| An estimated 20,000 wood storks nested in The Big Cypress in the 1930s, but by the 1990s less than 2,000 were counted.
After so long away from the musical stage, Holloway still had his resonant singing voice. ||| after ||| Lerner's only concern was whether, after so long away from the musical stage, Holloway still had his resonant singing voice.
As it returned to base, without success. ||| as ||| A group of German submarines attempted to intercept the carrier force as it returned to base, without success.
That sewers would clog, underground streams would flood subway corridors, and soils under roads would erode and cave in. ||| that ||| He explains that sewers would clog, underground streams would flood subway corridors, and soils under roads would erode and cave in.
After the speech. ||| After ||| After the speech, Menzies called for three cheers for Diem at an official parliamentary luncheon.
That president was Harry Toulmin. ||| That ||| That president was Harry Toulmin, a Unitarian minister from England.
Although Thomas declined his invitation. ||| Although ||| Although Thomas declined his invitation, Catesby again invited him in February the next year.
That a double primary would be too much for the aging Beckham to endure. ||| that ||| They believed that a double primary would be too much for the aging Beckham to endure.
As Australia replied with 101. ||| as ||| He made seven in the first innings as Australia replied with 101.
Before ending his career at the Scarborough Festival. ||| before ||| Rhodes missed several matches towards the end of the 1930 season, before ending his career at the Scarborough Festival.
As Lacrosse's crew made desperate efforts to turn southwards. ||| As ||| As Lacrosse's crew made desperate efforts to turn southwards, the ship's foremast and bowsprit collapsed under the pressure of the wind.
Although those species exist in large numbers. ||| although ||| Similarly, only six species of amphibians are documented, although those species exist in large numbers.
That could appeal to the masses. ||| that ||| They were written by mystics, who expressed their devotion to God in simple poems that could appeal to the masses.
After being displayed for two weeks in February 1943 to some Westinghouse factory workers, it disappeared for nearly four decades. ||| after ||| Rather, after being displayed for two weeks in February 1943 to some Westinghouse factory workers, it disappeared for nearly four decades.
That the original version was written in the late 9th century by a scribe in Wessex. ||| that ||| It is generally agreed that the original version was written in the late 9th century by a scribe in Wessex.
Before rain prompted Allen to declare. ||| before ||| England scored 426 for six on the first two days before rain prompted Allen to declare.
When they signed Reardon as a free agent. ||| when ||| On December 6, 1989, the Red Sox had both closers on their roster when they signed Reardon as a free agent.
As tools of intimidation. ||| as ||| Victims were selected for their usefulness as tools of intimidation.
As provincial. ||| as ||| Among his contemporary composers, Tippett admired Britten and shared his desire to end the perception of English music as provincial.
When the war ended. ||| When ||| When the war ended, she returned to live in Australia with her parents.
Where he lived until his death. ||| where ||| In 1968, Allen moved to a flat directly behind the Pavilion at Lord's, where he lived until his death.
When Aurora broke away, leaving ten marooned ashore. ||| when ||| Eighteen men were aboard when Aurora broke away, leaving ten marooned ashore.
As with other works of Chinese Malay literature. ||| As ||| As with other works of Chinese Malay literature, the book is not considered part of the Indonesian literary canon.
After Eisenhower arrived, on 16 August 1942, Ismay was promoted to the rank of Lieutenant General. ||| after ||| Not long after Eisenhower arrived, on 16 August 1942, Ismay was promoted to the rank of Lieutenant General.
After five minutes on the final morning. ||| After ||| After five minutes on the final morning, Yardley declared at 8/365.
After leaving the coast, it displayed a large low-level circulation, though as it tracked westward, the circulation failed to contract significantly. ||| after ||| Shortly after leaving the coast, it displayed a large low-level circulation, though as it tracked westward, the circulation failed to contract significantly.
As the campaign continued and the most important cities were destroyed. ||| As ||| As the campaign continued and the most important cities were destroyed, the bombers were sent against smaller and less significant cities.
That of corporate officers of retail chains with stores in downtown Birmingham. ||| that ||| King's arrest attracted national attention, including that of corporate officers of retail chains with stores in downtown Birmingham.
As her son later would be. ||| as ||| She was known for her wit and humor, as her son later would be.
While others fled to nearby fortified cities. ||| while ||| Many surrendered to Michael, while others fled to nearby fortified cities.
Until earthquakes increased again in June. ||| until ||| Over the next few months ash fell frequently until earthquakes increased again in June.
Until Henke's appointment, Hickey and Milne were the only athletes to have placed in the top half of any event. ||| until ||| Up until Henke's appointment, Hickey and Milne were the only athletes to have placed in the top half of any event.
If Plunkett ever lived on his land: he resided in Northumberland at the time of his death. ||| if ||| It is not clear if Plunkett ever lived on his land: he resided in Northumberland at the time of his death.
That the government would win the case. ||| that ||| Fred Graham, the New York Times's legal correspondent, predicted that the government would win the case.
That Gazan's troops were tiring rapidly, Mortier sent orders to Dupont's division to hurry forward. ||| that ||| Realizing he had been duped and that Gazan's troops were tiring rapidly, Mortier sent orders to Dupont's division to hurry forward.
Since 1971, with early projects including hospitals in Kibungo and Masaka. ||| since ||| China has been investing in Rwandan infrastructure since 1971, with early projects including hospitals in Kibungo and Masaka.
Until 13 November. ||| until ||| This prevented them from reaching the glacier summit until 13 November.
As it continued to move to the west. ||| as ||| It formed into a tropical depression on July 17 as it continued to move to the west.
